"id","gid","male","female"
"349","65314b12-0e08-43fa-ba33-baaa7b874c15","5886","6678"
"350","f7ba7fbe-c6bd-4ac0-bee9-c25c558d7d62","17303","19233"
"351","93eb7110-0bc9-4d3f-816b-4b52ef982ec8","13568","16338"
"352","69681b02-05b8-4685-80cb-e98983b7a96f","2770","4408"
"353","43090d53-8e5a-421f-8840-b9a2cffff3c0","2826","2165"
"354","612231ce-633b-4ebc-99bf-9b14e8d1cb74","8862","11285"
"355","79239441-bfd5-4981-a70c-55c3f15c1287","15327","21457"
"356","0039c7ae-e1a7-4a7d-9b49-0cbc716821a6","11642","19875"
"357","e7ad821c-7168-4f98-8998-84e8a12de9e2","10545","17436"
"358","6872de97-e58b-4eb1-81de-a2ddf0a05f04","4721","3195"
"359","f82bcf78-5b69-4622-a5ef-73800768d9ac","23597","13522"
"360","0eee89dc-7d86-4a15-97be-011652c49288","2538","3863"
"361","7b8d0768-7bef-4c01-ba61-1150e72b49bc","8144","2099"
"362","e1194e66-e4f0-4351-9d26-ac95df530d0c","14372","13592"
"363","59591b38-8f38-46f6-9deb-a68aae5844a9","425","392"
"364","5fbd4764-05e4-4cde-abeb-849a8ca55ce5","925","640"
"365","cda8e877-fe39-4939-8b09-045d68617367","4732","5274"
"366","06b0aa09-5b86-4d41-88a2-e86bd8df1555","804","422"
"367","c391fd22-da05-4e97-ad55-41bf91e0c1cc","869","396"
"368","757790a5-ef36-471d-a686-0c57c956b0ef","3135","4091"
"369","563201cb-721c-4cfb-acca-c1ba69e3d1fb","159","81"
"370","6c8fd0be-d961-454c-aee0-4366a6dbc993","3610","3202"
"371","e6ed56ae-c477-48fa-a53b-63f6cbc4a3c3","14442","4220"
"372","e9047e79-300c-4a0e-9110-621aa4a2d3bc","2326","870"
"373","bb6eaced-69dd-4636-829f-9f987acc4fc3","9939","14258"
"374","caaba574-dfbc-4681-8e56-19b5150897d2","14969","15665"
"375","647221d0-f6b1-4e03-924c-c59b8059536f","16323","15030"
"376","da90b5da-349e-4906-a0b4-805f5e46190d","13109","11370"
"377","450464ae-37c1-45ea-ab32-3ccf00604b28","679","463"
